loss,penalty,max_iter,alpha,Difference
hinge,l2,1333,0.0001,470
hinge,l2,1333,0.001,455
hinge,l2,1333,0.01,335
hinge,l2,1333,0.1,330
hinge,l2,4216,0.0001,343
hinge,l2,4216,0.001,338
hinge,l2,4216,0.01,387
hinge,l2,4216,0.1,364
hinge,l2,13333,0.0001,311
hinge,l2,13333,0.001,310
hinge,l2,13333,0.01,322
hinge,l2,13333,0.1,359
hinge,l1,1333,0.0001,323
hinge,l1,1333,0.001,346
hinge,l1,1333,0.01,479
hinge,l1,1333,0.1,701
hinge,l1,4216,0.0001,328
hinge,l1,4216,0.001,368
hinge,l1,4216,0.01,497
hinge,l1,4216,0.1,709
hinge,l1,13333,0.0001,350
hinge,l1,13333,0.001,356
hinge,l1,13333,0.01,529
hinge,l1,13333,0.1,710
hinge,elasticnet,1333,0.0001,340
hinge,elasticnet,1333,0.001,321
hinge,elasticnet,1333,0.01,375
hinge,elasticnet,1333,0.1,597
hinge,elasticnet,4216,0.0001,326
hinge,elasticnet,4216,0.001,304
hinge,elasticnet,4216,0.01,403
hinge,elasticnet,4216,0.1,581
hinge,elasticnet,13333,0.0001,342
hinge,elasticnet,13333,0.001,410
hinge,elasticnet,13333,0.01,368
hinge,elasticnet,13333,0.1,673
squared_loss,l2,1333,0.0001,728
squared_loss,l2,1333,0.001,738
squared_loss,l2,1333,0.01,737
squared_loss,l2,1333,0.1,734
squared_loss,l2,4216,0.0001,732
squared_loss,l2,4216,0.001,735
squared_loss,l2,4216,0.01,733
squared_loss,l2,4216,0.1,732
squared_loss,l2,13333,0.0001,737
squared_loss,l2,13333,0.001,727
squared_loss,l2,13333,0.01,736
squared_loss,l2,13333,0.1,736
squared_loss,l1,1333,0.0001,743
squared_loss,l1,1333,0.001,734
squared_loss,l1,1333,0.01,728
squared_loss,l1,1333,0.1,732
squared_loss,l1,4216,0.0001,734
squared_loss,l1,4216,0.001,731
squared_loss,l1,4216,0.01,740
squared_loss,l1,4216,0.1,736
squared_loss,l1,13333,0.0001,740
squared_loss,l1,13333,0.001,737
squared_loss,l1,13333,0.01,729
squared_loss,l1,13333,0.1,743
squared_loss,elasticnet,1333,0.0001,742
squared_loss,elasticnet,1333,0.001,740
squared_loss,elasticnet,1333,0.01,736
squared_loss,elasticnet,1333,0.1,731
squared_loss,elasticnet,4216,0.0001,737
squared_loss,elasticnet,4216,0.001,738
squared_loss,elasticnet,4216,0.01,740
squared_loss,elasticnet,4216,0.1,729
squared_loss,elasticnet,13333,0.0001,738
squared_loss,elasticnet,13333,0.001,739
squared_loss,elasticnet,13333,0.01,732
squared_loss,elasticnet,13333,0.1,733
huber,l2,1333,0.0001,739
huber,l2,1333,0.001,739
huber,l2,1333,0.01,729
huber,l2,1333,0.1,684
huber,l2,4216,0.0001,740
huber,l2,4216,0.001,733
huber,l2,4216,0.01,719
huber,l2,4216,0.1,690
huber,l2,13333,0.0001,746
huber,l2,13333,0.001,732
huber,l2,13333,0.01,733
huber,l2,13333,0.1,682
huber,l1,1333,0.0001,736
huber,l1,1333,0.001,739
huber,l1,1333,0.01,734
huber,l1,1333,0.1,738
huber,l1,4216,0.0001,736
huber,l1,4216,0.001,736
huber,l1,4216,0.01,736
huber,l1,4216,0.1,735
huber,l1,13333,0.0001,736
huber,l1,13333,0.001,737
huber,l1,13333,0.01,731
huber,l1,13333,0.1,737
huber,elasticnet,1333,0.0001,735
huber,elasticnet,1333,0.001,739
huber,elasticnet,1333,0.01,731
huber,elasticnet,1333,0.1,737
huber,elasticnet,4216,0.0001,732
huber,elasticnet,4216,0.001,737
huber,elasticnet,4216,0.01,730
huber,elasticnet,4216,0.1,733
huber,elasticnet,13333,0.0001,733
huber,elasticnet,13333,0.001,741
huber,elasticnet,13333,0.01,738
huber,elasticnet,13333,0.1,738
epsilon_insensitive,l2,1333,0.0001,739
epsilon_insensitive,l2,1333,0.001,726
epsilon_insensitive,l2,1333,0.01,733
epsilon_insensitive,l2,1333,0.1,707
epsilon_insensitive,l2,4216,0.0001,739
epsilon_insensitive,l2,4216,0.001,732
epsilon_insensitive,l2,4216,0.01,739
epsilon_insensitive,l2,4216,0.1,730
epsilon_insensitive,l2,13333,0.0001,730
epsilon_insensitive,l2,13333,0.001,734
epsilon_insensitive,l2,13333,0.01,732
epsilon_insensitive,l2,13333,0.1,733
epsilon_insensitive,l1,1333,0.0001,735
epsilon_insensitive,l1,1333,0.001,732
epsilon_insensitive,l1,1333,0.01,743
epsilon_insensitive,l1,1333,0.1,733
epsilon_insensitive,l1,4216,0.0001,743
epsilon_insensitive,l1,4216,0.001,736
epsilon_insensitive,l1,4216,0.01,741
epsilon_insensitive,l1,4216,0.1,733
epsilon_insensitive,l1,13333,0.0001,734
epsilon_insensitive,l1,13333,0.001,731
epsilon_insensitive,l1,13333,0.01,733
epsilon_insensitive,l1,13333,0.1,742
epsilon_insensitive,elasticnet,1333,0.0001,735
epsilon_insensitive,elasticnet,1333,0.001,718
epsilon_insensitive,elasticnet,1333,0.01,733
epsilon_insensitive,elasticnet,1333,0.1,731
epsilon_insensitive,elasticnet,4216,0.0001,741
epsilon_insensitive,elasticnet,4216,0.001,740
epsilon_insensitive,elasticnet,4216,0.01,733
epsilon_insensitive,elasticnet,4216,0.1,735
epsilon_insensitive,elasticnet,13333,0.0001,731
epsilon_insensitive,elasticnet,13333,0.001,737
epsilon_insensitive,elasticnet,13333,0.01,735
epsilon_insensitive,elasticnet,13333,0.1,737
squared_epsilon_insensitive,l2,1333,0.0001,735
squared_epsilon_insensitive,l2,1333,0.001,729
squared_epsilon_insensitive,l2,1333,0.01,733
squared_epsilon_insensitive,l2,1333,0.1,736
squared_epsilon_insensitive,l2,4216,0.0001,728
squared_epsilon_insensitive,l2,4216,0.001,735
squared_epsilon_insensitive,l2,4216,0.01,740
squared_epsilon_insensitive,l2,4216,0.1,740
squared_epsilon_insensitive,l2,13333,0.0001,733
squared_epsilon_insensitive,l2,13333,0.001,729
squared_epsilon_insensitive,l2,13333,0.01,729
squared_epsilon_insensitive,l2,13333,0.1,734
squared_epsilon_insensitive,l1,1333,0.0001,738
squared_epsilon_insensitive,l1,1333,0.001,742
squared_epsilon_insensitive,l1,1333,0.01,731
squared_epsilon_insensitive,l1,1333,0.1,742
squared_epsilon_insensitive,l1,4216,0.0001,739
squared_epsilon_insensitive,l1,4216,0.001,734
squared_epsilon_insensitive,l1,4216,0.01,734
squared_epsilon_insensitive,l1,4216,0.1,738
squared_epsilon_insensitive,l1,13333,0.0001,742
squared_epsilon_insensitive,l1,13333,0.001,733
squared_epsilon_insensitive,l1,13333,0.01,736
squared_epsilon_insensitive,l1,13333,0.1,737
squared_epsilon_insensitive,elasticnet,1333,0.0001,734
squared_epsilon_insensitive,elasticnet,1333,0.001,732
squared_epsilon_insensitive,elasticnet,1333,0.01,736
squared_epsilon_insensitive,elasticnet,1333,0.1,739
squared_epsilon_insensitive,elasticnet,4216,0.0001,735
squared_epsilon_insensitive,elasticnet,4216,0.001,731
squared_epsilon_insensitive,elasticnet,4216,0.01,731
squared_epsilon_insensitive,elasticnet,4216,0.1,737
squared_epsilon_insensitive,elasticnet,13333,0.0001,734
squared_epsilon_insensitive,elasticnet,13333,0.001,736
squared_epsilon_insensitive,elasticnet,13333,0.01,734
squared_epsilon_insensitive,elasticnet,13333,0.1,736
