loss,penalty,max_iter,alpha,diff
hinge,l2,4587,0.0001,6
hinge,l2,4587,0.001,8
hinge,l2,4587,0.01,4
hinge,l2,4587,0.1,4
hinge,l2,14506,0.0001,13
hinge,l2,14506,0.001,6
hinge,l2,14506,0.01,5
hinge,l2,14506,0.1,5
hinge,l2,45872,0.0001,5
hinge,l2,45872,0.001,7
hinge,l2,45872,0.01,4
hinge,l2,45872,0.1,5
hinge,l1,4587,0.0001,6
hinge,l1,4587,0.001,4
hinge,l1,4587,0.01,5
hinge,l1,4587,0.1,6
hinge,l1,14506,0.0001,8
hinge,l1,14506,0.001,5
hinge,l1,14506,0.01,4
hinge,l1,14506,0.1,6
hinge,l1,45872,0.0001,6
hinge,l1,45872,0.001,5
hinge,l1,45872,0.01,6
hinge,l1,45872,0.1,6
hinge,elasticnet,4587,0.0001,7
hinge,elasticnet,4587,0.001,17
hinge,elasticnet,4587,0.01,6
hinge,elasticnet,4587,0.1,6
hinge,elasticnet,14506,0.0001,16
hinge,elasticnet,14506,0.001,8
hinge,elasticnet,14506,0.01,5
hinge,elasticnet,14506,0.1,6
hinge,elasticnet,45872,0.0001,5
hinge,elasticnet,45872,0.001,5
hinge,elasticnet,45872,0.01,6
hinge,elasticnet,45872,0.1,4
squared_loss,l2,4587,0.0001,168
squared_loss,l2,4587,0.001,7
squared_loss,l2,4587,0.01,33
squared_loss,l2,4587,0.1,98
squared_loss,l2,14506,0.0001,151
squared_loss,l2,14506,0.001,6
squared_loss,l2,14506,0.01,34
squared_loss,l2,14506,0.1,98
squared_loss,l2,45872,0.0001,103
squared_loss,l2,45872,0.001,7
squared_loss,l2,45872,0.01,12
squared_loss,l2,45872,0.1,98
squared_loss,l1,4587,0.0001,95
squared_loss,l1,4587,0.001,6
squared_loss,l1,4587,0.01,17
squared_loss,l1,4587,0.1,109
squared_loss,l1,14506,0.0001,156
squared_loss,l1,14506,0.001,6
squared_loss,l1,14506,0.01,49
squared_loss,l1,14506,0.1,125
squared_loss,l1,45872,0.0001,86
squared_loss,l1,45872,0.001,6
squared_loss,l1,45872,0.01,14
squared_loss,l1,45872,0.1,110
squared_loss,elasticnet,4587,0.0001,179
squared_loss,elasticnet,4587,0.001,6
squared_loss,elasticnet,4587,0.01,13
squared_loss,elasticnet,4587,0.1,100
squared_loss,elasticnet,14506,0.0001,150
squared_loss,elasticnet,14506,0.001,6
squared_loss,elasticnet,14506,0.01,34
squared_loss,elasticnet,14506,0.1,100
squared_loss,elasticnet,45872,0.0001,109
squared_loss,elasticnet,45872,0.001,6
squared_loss,elasticnet,45872,0.01,14
squared_loss,elasticnet,45872,0.1,97
huber,l2,4587,0.0001,7
huber,l2,4587,0.001,6
huber,l2,4587,0.01,6
huber,l2,4587,0.1,14
huber,l2,14506,0.0001,7
huber,l2,14506,0.001,6
huber,l2,14506,0.01,4
huber,l2,14506,0.1,14
huber,l2,45872,0.0001,7
huber,l2,45872,0.001,6
huber,l2,45872,0.01,4
huber,l2,45872,0.1,14
huber,l1,4587,0.0001,6
huber,l1,4587,0.001,6
huber,l1,4587,0.01,6
huber,l1,4587,0.1,82
huber,l1,14506,0.0001,6
huber,l1,14506,0.001,6
huber,l1,14506,0.01,6
huber,l1,14506,0.1,82
huber,l1,45872,0.0001,6
huber,l1,45872,0.001,6
huber,l1,45872,0.01,6
huber,l1,45872,0.1,82
huber,elasticnet,4587,0.0001,6
huber,elasticnet,4587,0.001,6
huber,elasticnet,4587,0.01,6
huber,elasticnet,4587,0.1,77
huber,elasticnet,14506,0.0001,6
huber,elasticnet,14506,0.001,6
huber,elasticnet,14506,0.01,6
huber,elasticnet,14506,0.1,79
huber,elasticnet,45872,0.0001,6
huber,elasticnet,45872,0.001,6
huber,elasticnet,45872,0.01,6
huber,elasticnet,45872,0.1,79
epsilon_insensitive,l2,4587,0.0001,60
epsilon_insensitive,l2,4587,0.001,8
epsilon_insensitive,l2,4587,0.01,6
epsilon_insensitive,l2,4587,0.1,7
epsilon_insensitive,l2,14506,0.0001,59
epsilon_insensitive,l2,14506,0.001,6
epsilon_insensitive,l2,14506,0.01,6
epsilon_insensitive,l2,14506,0.1,5
epsilon_insensitive,l2,45872,0.0001,161
epsilon_insensitive,l2,45872,0.001,6
epsilon_insensitive,l2,45872,0.01,6
epsilon_insensitive,l2,45872,0.1,7
epsilon_insensitive,l1,4587,0.0001,42
epsilon_insensitive,l1,4587,0.001,6
epsilon_insensitive,l1,4587,0.01,6
epsilon_insensitive,l1,4587,0.1,6
epsilon_insensitive,l1,14506,0.0001,30
epsilon_insensitive,l1,14506,0.001,14
epsilon_insensitive,l1,14506,0.01,6
epsilon_insensitive,l1,14506,0.1,6
epsilon_insensitive,l1,45872,0.0001,76
epsilon_insensitive,l1,45872,0.001,6
epsilon_insensitive,l1,45872,0.01,6
epsilon_insensitive,l1,45872,0.1,6
epsilon_insensitive,elasticnet,4587,0.0001,86
epsilon_insensitive,elasticnet,4587,0.001,6
epsilon_insensitive,elasticnet,4587,0.01,6
epsilon_insensitive,elasticnet,4587,0.1,6
epsilon_insensitive,elasticnet,14506,0.0001,81
epsilon_insensitive,elasticnet,14506,0.001,6
epsilon_insensitive,elasticnet,14506,0.01,6
epsilon_insensitive,elasticnet,14506,0.1,6
epsilon_insensitive,elasticnet,45872,0.0001,109
epsilon_insensitive,elasticnet,45872,0.001,6
epsilon_insensitive,elasticnet,45872,0.01,6
epsilon_insensitive,elasticnet,45872,0.1,6
squared_epsilon_insensitive,l2,4587,0.0001,92
squared_epsilon_insensitive,l2,4587,0.001,8
squared_epsilon_insensitive,l2,4587,0.01,6
squared_epsilon_insensitive,l2,4587,0.1,100
squared_epsilon_insensitive,l2,14506,0.0001,87
squared_epsilon_insensitive,l2,14506,0.001,6
squared_epsilon_insensitive,l2,14506,0.01,6
squared_epsilon_insensitive,l2,14506,0.1,117
squared_epsilon_insensitive,l2,45872,0.0001,120
squared_epsilon_insensitive,l2,45872,0.001,8
squared_epsilon_insensitive,l2,45872,0.01,5
squared_epsilon_insensitive,l2,45872,0.1,117
squared_epsilon_insensitive,l1,4587,0.0001,102
squared_epsilon_insensitive,l1,4587,0.001,5
squared_epsilon_insensitive,l1,4587,0.01,32
squared_epsilon_insensitive,l1,4587,0.1,102
squared_epsilon_insensitive,l1,14506,0.0001,102
squared_epsilon_insensitive,l1,14506,0.001,7
squared_epsilon_insensitive,l1,14506,0.01,6
squared_epsilon_insensitive,l1,14506,0.1,107
squared_epsilon_insensitive,l1,45872,0.0001,184
squared_epsilon_insensitive,l1,45872,0.001,6
squared_epsilon_insensitive,l1,45872,0.01,6
squared_epsilon_insensitive,l1,45872,0.1,111
squared_epsilon_insensitive,elasticnet,4587,0.0001,88
squared_epsilon_insensitive,elasticnet,4587,0.001,6
squared_epsilon_insensitive,elasticnet,4587,0.01,5
squared_epsilon_insensitive,elasticnet,4587,0.1,118
squared_epsilon_insensitive,elasticnet,14506,0.0001,57
squared_epsilon_insensitive,elasticnet,14506,0.001,8
squared_epsilon_insensitive,elasticnet,14506,0.01,6
squared_epsilon_insensitive,elasticnet,14506,0.1,118
squared_epsilon_insensitive,elasticnet,45872,0.0001,144
squared_epsilon_insensitive,elasticnet,45872,0.001,7
squared_epsilon_insensitive,elasticnet,45872,0.01,6
squared_epsilon_insensitive,elasticnet,45872,0.1,99
